  INFO root [2018-06-17 12:34:16,667] - Components::findComponents: found dbmgr, addr:192.168.31.56:38776
  INFO root [2018-06-17 12:34:16,667] - Components::addComponent: reset orderLog, uid=11690!
  INFO root [2018-06-17 12:34:16,667] - Components::addComponent[dbmgr], uid=11690, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-06-17 12:34:16,668] - Components::findComponents: found dbmgr, addr:192.168.31.56:38776
  WARN root [2018-06-17 12:34:17,668] - Forwarding logs to logger[192.168.31.56:38772/0/0/0]...
 ERROR root [2018-06-17 12:34:47,102] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-06-17 12:34:47,110] - The following logs sent to logger failed:
  WARN root [2018-06-17 12:34:47,110] - ==> [2018-06-17 12:34:47 083] TCPPacketReceiver::processPendingEvents(192.168.31.56:38772): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-06-17 12:34:47,111] - ==> [2018-06-17 12:34:47 102] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  WARN root [2018-06-17 12:34:47,222] - TCPPacketReceiver::processPendingEvents(192.168.31.56:38776): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-06-17 12:34:47,228] - Components::removeComponentByChannel: dbmgr : 4000, Abnormal exit! errorno=10054
  INFO root [2018-06-17 12:34:47,255] - Shutdowner::onShutdownBegin: shutting down(period=0, tickPeriod=1)
  INFO root [2018-06-17 12:34:47,258] - Shutdowner::onShutdown: shutting down
  INFO root [2018-06-17 12:34:47,258] - Shutdowner::onShutdownEnd: shutting down
 DEBUG root [2018-06-17 12:34:47,259] - ThreadPool::destroy(): starting size 2.
